geometry
"POLYGON ((41.138636702 -8.624183371999973, 41.138636702 -8.623477073999972, 41.139343 -8.623477073999972, 41.139343 -8.624183371999973, 41.138636702 -8.624183371999973))"
"POLYGON ((41.138636702 -8.623477073999972, 41.138636702 -8.622770775999971, 41.139343 -8.622770775999971, 41.139343 -8.623477073999972, 41.138636702 -8.623477073999972))"
"POLYGON ((41.138636702 -8.622770775999971, 41.138636702 -8.62206447799997, 41.139343 -8.62206447799997, 41.139343 -8.622770775999971, 41.138636702 -8.622770775999971))"
"POLYGON ((41.138636702 -8.62206447799997, 41.138636702 -8.62135817999997, 41.139343 -8.62135817999997, 41.139343 -8.62206447799997, 41.138636702 -8.62206447799997))"
"POLYGON ((41.138636702 -8.62135817999997, 41.138636702 -8.620651881999969, 41.139343 -8.620651881999969, 41.139343 -8.62135817999997, 41.138636702 -8.62135817999997))"
"POLYGON ((41.138636702 -8.620651881999969, 41.138636702 -8.619945583999968, 41.139343 -8.619945583999968, 41.139343 -8.620651881999969, 41.138636702 -8.620651881999969))"
"POLYGON ((41.138636702 -8.619945583999968, 41.138636702 -8.619239285999967, 41.139343 -8.619239285999967, 41.139343 -8.619945583999968, 41.138636702 -8.619945583999968))"
"POLYGON ((41.138636702 -8.619239285999967, 41.138636702 -8.618532987999966, 41.139343 -8.618532987999966, 41.139343 -8.619239285999967, 41.138636702 -8.619239285999967))"
"POLYGON ((41.138636702 -8.618532987999966, 41.138636702 -8.617826689999966, 41.139343 -8.617826689999966, 41.139343 -8.618532987999966, 41.138636702 -8.618532987999966))"
"POLYGON ((41.138636702 -8.617826689999966, 41.138636702 -8.617120391999965, 41.139343 -8.617120391999965, 41.139343 -8.617826689999966, 41.138636702 -8.617826689999966))"
"POLYGON ((41.138636702 -8.617120391999965, 41.138636702 -8.616414093999964, 41.139343 -8.616414093999964, 41.139343 -8.617120391999965, 41.138636702 -8.617120391999965))"
"POLYGON ((41.138636702 -8.616414093999964, 41.138636702 -8.615707795999963, 41.139343 -8.615707795999963, 41.139343 -8.616414093999964, 41.138636702 -8.616414093999964))"
"POLYGON ((41.138636702 -8.615707795999963, 41.138636702 -8.615001497999963, 41.139343 -8.615001497999963, 41.139343 -8.615707795999963, 41.138636702 -8.615707795999963))"
"POLYGON ((41.138636702 -8.615001497999963, 41.138636702 -8.614295199999962, 41.139343 -8.614295199999962, 41.139343 -8.615001497999963, 41.138636702 -8.615001497999963))"
"POLYGON ((41.138636702 -8.614295199999962, 41.138636702 -8.613588901999961, 41.139343 -8.613588901999961, 41.139343 -8.614295199999962, 41.138636702 -8.614295199999962))"
"POLYGON ((41.138636702 -8.613588901999961, 41.138636702 -8.61288260399996, 41.139343 -8.61288260399996, 41.139343 -8.613588901999961, 41.138636702 -8.613588901999961))"
"POLYGON ((41.138636702 -8.61288260399996, 41.138636702 -8.61217630599996, 41.139343 -8.61217630599996, 41.139343 -8.61288260399996, 41.138636702 -8.61288260399996))"
"POLYGON ((41.138636702 -8.61217630599996, 41.138636702 -8.611470007999959, 41.139343 -8.611470007999959, 41.139343 -8.61217630599996, 41.138636702 -8.61217630599996))"
"POLYGON ((41.138636702 -8.611470007999959, 41.138636702 -8.610763709999958, 41.139343 -8.610763709999958, 41.139343 -8.611470007999959, 41.138636702 -8.611470007999959))"
"POLYGON ((41.138636702 -8.610763709999958, 41.138636702 -8.610057411999957, 41.139343 -8.610057411999957, 41.139343 -8.610763709999958, 41.138636702 -8.610763709999958))"
"POLYGON ((41.138636702 -8.610057411999957, 41.138636702 -8.609351113999956, 41.139343 -8.609351113999956, 41.139343 -8.610057411999957, 41.138636702 -8.610057411999957))"
"POLYGON ((41.138636702 -8.609351113999956, 41.138636702 -8.608644815999956, 41.139343 -8.608644815999956, 41.139343 -8.609351113999956, 41.138636702 -8.609351113999956))"
"POLYGON ((41.138636702 -8.608644815999956, 41.138636702 -8.607938517999955, 41.139343 -8.607938517999955, 41.139343 -8.608644815999956, 41.138636702 -8.608644815999956))"
"POLYGON ((41.138636702 -8.607938517999955, 41.138636702 -8.607232219999954, 41.139343 -8.607232219999954, 41.139343 -8.607938517999955, 41.138636702 -8.607938517999955))"
"POLYGON ((41.138636702 -8.607232219999954, 41.138636702 -8.606525921999953, 41.139343 -8.606525921999953, 41.139343 -8.607232219999954, 41.138636702 -8.607232219999954))"
"POLYGON ((41.138636702 -8.606525921999953, 41.138636702 -8.605819623999952, 41.139343 -8.605819623999952, 41.139343 -8.606525921999953, 41.138636702 -8.606525921999953))"
"POLYGON ((41.138636702 -8.605819623999952, 41.138636702 -8.605113325999952, 41.139343 -8.605113325999952, 41.139343 -8.605819623999952, 41.138636702 -8.605819623999952))"
"POLYGON ((41.138636702 -8.605113325999952, 41.138636702 -8.604407027999951, 41.139343 -8.604407027999951, 41.139343 -8.605113325999952, 41.138636702 -8.605113325999952))"
"POLYGON ((41.138636702 -8.604407027999951, 41.138636702 -8.60370072999995, 41.139343 -8.60370072999995, 41.139343 -8.604407027999951, 41.138636702 -8.604407027999951))"
"POLYGON ((41.138636702 -8.60370072999995, 41.138636702 -8.60299443199995, 41.139343 -8.60299443199995, 41.139343 -8.60370072999995, 41.138636702 -8.60370072999995))"
"POLYGON ((41.138636702 -8.60299443199995, 41.138636702 -8.602288133999949, 41.139343 -8.602288133999949, 41.139343 -8.60299443199995, 41.138636702 -8.60299443199995))"
"POLYGON ((41.138636702 -8.602288133999949, 41.138636702 -8.601581835999948, 41.139343 -8.601581835999948, 41.139343 -8.602288133999949, 41.138636702 -8.602288133999949))"
"POLYGON ((41.138636702 -8.601581835999948, 41.138636702 -8.600875537999947, 41.139343 -8.600875537999947, 41.139343 -8.601581835999948, 41.138636702 -8.601581835999948))"
"POLYGON ((41.138636702 -8.600875537999947, 41.138636702 -8.600169239999946, 41.139343 -8.600169239999946, 41.139343 -8.600875537999947, 41.138636702 -8.600875537999947))"
"POLYGON ((41.138636702 -8.600169239999946, 41.138636702 -8.599462941999946, 41.139343 -8.599462941999946, 41.139343 -8.600169239999946, 41.138636702 -8.600169239999946))"
"POLYGON ((41.138636702 -8.599462941999946, 41.138636702 -8.598756643999945, 41.139343 -8.598756643999945, 41.139343 -8.599462941999946, 41.138636702 -8.599462941999946))"
"POLYGON ((41.138636702 -8.598756643999945, 41.138636702 -8.598050345999944, 41.139343 -8.598050345999944, 41.139343 -8.598756643999945, 41.138636702 -8.598756643999945))"
"POLYGON ((41.138636702 -8.598050345999944, 41.138636702 -8.597344047999943, 41.139343 -8.597344047999943, 41.139343 -8.598050345999944, 41.138636702 -8.598050345999944))"
"POLYGON ((41.138636702 -8.597344047999943, 41.138636702 -8.596637749999942, 41.139343 -8.596637749999942, 41.139343 -8.597344047999943, 41.138636702 -8.597344047999943))"
"POLYGON ((41.138636702 -8.596637749999942, 41.138636702 -8.595931451999942, 41.139343 -8.595931451999942, 41.139343 -8.596637749999942, 41.138636702 -8.596637749999942))"
"POLYGON ((41.138636702 -8.595931451999942, 41.138636702 -8.595225153999941, 41.139343 -8.595225153999941, 41.139343 -8.595931451999942, 41.138636702 -8.595931451999942))"
"POLYGON ((41.138636702 -8.595225153999941, 41.138636702 -8.59451885599994, 41.139343 -8.59451885599994, 41.139343 -8.595225153999941, 41.138636702 -8.595225153999941))"
"POLYGON ((41.138636702 -8.59451885599994, 41.138636702 -8.59381255799994, 41.139343 -8.59381255799994, 41.139343 -8.59451885599994, 41.138636702 -8.59451885599994))"
"POLYGON ((41.138636702 -8.59381255799994, 41.138636702 -8.593106259999939, 41.139343 -8.593106259999939, 41.139343 -8.59381255799994, 41.138636702 -8.59381255799994))"
"POLYGON ((41.138636702 -8.593106259999939, 41.138636702 -8.592399961999938, 41.139343 -8.592399961999938, 41.139343 -8.593106259999939, 41.138636702 -8.593106259999939))"
"POLYGON ((41.138636702 -8.592399961999938, 41.138636702 -8.591693663999937, 41.139343 -8.591693663999937, 41.139343 -8.592399961999938, 41.138636702 -8.592399961999938))"
"POLYGON ((41.138636702 -8.591693663999937, 41.138636702 -8.590987365999936, 41.139343 -8.590987365999936, 41.139343 -8.591693663999937, 41.138636702 -8.591693663999937))"
"POLYGON ((41.138636702 -8.590987365999936, 41.138636702 -8.590281067999936, 41.139343 -8.590281067999936, 41.139343 -8.590987365999936, 41.138636702 -8.590987365999936))"
"POLYGON ((41.138636702 -8.590281067999936, 41.138636702 -8.589574769999935, 41.139343 -8.589574769999935, 41.139343 -8.590281067999936, 41.138636702 -8.590281067999936))"
"POLYGON ((41.138636702 -8.589574769999935, 41.138636702 -8.588868471999934, 41.139343 -8.588868471999934, 41.139343 -8.589574769999935, 41.138636702 -8.589574769999935))"
"POLYGON ((41.138636702 -8.588868471999934, 41.138636702 -8.588162173999933, 41.139343 -8.588162173999933, 41.139343 -8.588868471999934, 41.138636702 -8.588868471999934))"
"POLYGON ((41.138636702 -8.588162173999933, 41.138636702 -8.587455875999932, 41.139343 -8.587455875999932, 41.139343 -8.588162173999933, 41.138636702 -8.588162173999933))"
"POLYGON ((41.138636702 -8.587455875999932, 41.138636702 -8.586749577999932, 41.139343 -8.586749577999932, 41.139343 -8.587455875999932, 41.138636702 -8.587455875999932))"
"POLYGON ((41.138636702 -8.586749577999932, 41.138636702 -8.586043279999931, 41.139343 -8.586043279999931, 41.139343 -8.586749577999932, 41.138636702 -8.586749577999932))"
"POLYGON ((41.138636702 -8.586043279999931, 41.138636702 -8.58533698199993, 41.139343 -8.58533698199993, 41.139343 -8.586043279999931, 41.138636702 -8.586043279999931))"
"POLYGON ((41.138636702 -8.58533698199993, 41.138636702 -8.58463068399993, 41.139343 -8.58463068399993, 41.139343 -8.58533698199993, 41.138636702 -8.58533698199993))"
